,X,X_id,date_publish,language,source_domain,url,month,year,language_translated,maintext_translated,title_translated,country,sarah_russia_related,sarah_russia_sentiment,sarah_topic,donald_russia_related,donald_sentiment_recoding,donald_topic,agree_russia,agree_sentiment,agree_topic,GPT_Russian_Involvement,GPT_Sentiment,GPT_Topic,GPT_Agreement_Russian_Involvement,GPT_Agreement_Sentiment,GPT_Agreement_Topic,GPT_Russian_Involvement,GPT_Sentiment,GPT_Topic,GPT_Agree_R,GPT_Agree_S,GPT_Agree_T
10,7553,62d84c5c485b7d360a52d09f,6/20/2022 13:59,ru,pravda.com.ua,https://www.pravda.com.ua/news/2022/06/20/7353590/,6,2022,en,"Governor Bryanko of the Russian Federation, Oleksandr Bogaz, a song by 20 more worms of the venison of the ZSU, was pelted with celiacity.",The zombie caught the ZSU in her village.,Ukraine,yes,0,other,yes,0,other,TRUE,TRUE,TRUE,yes,-1,military,TRUE,FALSE,FALSE,yes,0,other,TRUE,FALSE,FALSE
11,1598,628c9d2680d31e4433164513,2/23/2022 6:22,hy,azatutyun.am,https://www.azatutyun.am/a/31717947.html,2,2022,en,"Some Western countries have declared themselves against Russia, after the independence of the independent states of Donetske and Lugansky from Moscow.",Western countries declared the measures against Russia,Armenia,yes,-1,political,yes,-1,political,TRUE,TRUE,TRUE,yes,-1,political,TRUE,TRUE,TRUE,yes,-1,political,TRUE,TRUE,TRUE
12,119,63e59db79e33bcc0ca838173,8/5/2021 8:09,ru,zerkalo.az,https://zerkalo.az/letom-my-vam-a-zimoj-vy-nam-eksperty-o-vozobnovlenii-sezonnogo-obmena-gazom-mezhdu-rossiej-i-azerbajdzhanom/,8,2021,en,"Azerbaijan will resume the procurement of Russian gas, suspended from 2019, in particular until 2023 Azerbaijan will supply gas to Russia in summer and the Russian Federation to Azerbaijan in winter. The terms and conditions of the contract are not disclosed by the parties.","In summer we are to you, and in winter you are to us experts on the resumption of the seasonal exchange of gas between Russia and Azerbaijan.",Azerbaijan,yes,1,economic,yes,1,economic,TRUE,TRUE,TRUE,yes,0,economic,TRUE,FALSE,TRUE,yes,0,economic,TRUE,TRUE,TRUE
13,382,63c6133271851a482c5f5891,6/15/2022,ru,diapazon.kz,https://diapazon.kz/news/116827-druzhba-mezhdu-kazahstanom-i-rossiei-dolzhna-bit-vechnoi---tokaev,6,2022,en,"Read also: During the events of January, I was advised to leave Kazakhstan - Tokaev Entrance to reset the password Register if you are a new user Tuesday, 17 January in Aktobe - 17°, clear exchange rates US$ 462.69 • I 500.63 • ~ 6.76 Slaughters and ammunition sold to bandits and extremists in Kazakhstan",The friendship between Kazakhstan and Russia must be eternal - Tokaev,Kazakhstan,yes,1,political,yes,1,political,TRUE,TRUE,TRUE,yes,1,political,TRUE,TRUE,TRUE,yes,1,political,TRUE,TRUE,TRUE
14,1452,627d7f84dd894d3c8b3d2e6b,4/6/2022 7:49,tr,posta.com.tr,https://web.archive.org/web/20220406055115/https://www.posta.com.tr/dunya/turk-buyukelciligi-kieve-geri-dondu-2508203,4,2022,en,"Following Russia's operations against Ukraine, Turkey, which temporarily transports embassy activities to Chernivtsi for security purposes, is again Kiev...",Turkish Embassy returns to Kiev,Turkey,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
15,1076,6284357ad8c6f4df8866d8da,2/1/2022 5:30,tr,sozcu.com.tr,https://www.sozcu.com.tr/2022/ekonomi/rusya-cin-ve-iran-dolari-tercih-etti-6923772/,2,2022,en,"Russia preferred China and Iran. Turkey's local money and trade goal as leverage against the West. In foreign trade, the share of dollars and euros found 90 per cent. Grow the articles.","Russia, China and Iran preferred dollars",Turkey,yes,0,economic,yes,0,economic,TRUE,TRUE,TRUE,yes,0,economic,TRUE,TRUE,TRUE,yes,0,economic,TRUE,TRUE,TRUE
16,1913,61d3860020b2acf70ccae750,10/24/2021 0:33,ru,pravda.com.ua,https://www.pravda.com.ua/rus/news/2021/10/24/7311467/,10,2021,en,"Russian Gazprom may stop supplying gas to Moldova if Kishinev does not pay the debt and does not agree on the terms of the new contract as of 1 December. The source: Gazprom spokesman Sergei Kupriyanov quotes DW. The direct speech reads: ""On the other hand, the representatives of Moldova are somehow reluctant to recognize the accumulated amount of debt.",Gazprom threatened Moldova with a gas stop.,Ukraine,yes,0,economic,yes,0,economic,TRUE,TRUE,TRUE,yes,-1,economic,TRUE,FALSE,TRUE,yes,-1,economic,TRUE,TRUE,TRUE
17,3032,632d55065d6bd0f3ecb09089,8/22/2022,hu,hvg.hu,https://hvg.hu/gazdasag/20220822_Milyen_ukrajnai_menekultnek_lenni_Oroszorszagban,8,2022,en,"Not only are they fleeing from the war in the western direction of Ukraine, but they also flee to the east, often not by their own will, the German report of Der Spiegel reveals.. Everything is better than to lie dead in Mariupol, in the 22-year-old Valerija Korbonova, who was transported by the Russians to the Chinese border. Before the war he worked in a cosmetic salon.. After the siege, the",What's it like to be a Ukrainian refugee in Russia?,Hungary,yes,-1,other,yes,0,other,TRUE,TRUE,TRUE,yes,0,culture,TRUE,TRUE,FALSE,yes,0,other,TRUE,TRUE,FALSE
18,1176,62fda75f976f12e519ed1be6,1/18/2022 23:27,tr,t24.com.tr,"https://t24.com.tr/haber/uzmanlar-yorumluyor-erdogan-in-rusya-kirim-a-coktu-sozleri-ne-sonuc-dogrurabilir-israil-acilimi-ne-anlama-geliyor,1009000",1,2022,en,"Aydın Sezer, Karel Valansi and Soli Special have evaluated to T24... AKP President and President Recep Tayyip Erdogan have issued important signals about Turkey's foreign policy. Erdoğan has stated that Turkey had collapsed in 2014, when the Balkan country was reporting to journalists on its return from Albania.","Experts are commenting on Erdoğan's words, ""Russia has fallen into Crimea,"" what could be the result, and what does Israel's expansion mean?",Turkey,no,0,political,no,0,political,TRUE,TRUE,TRUE,yes,0,political,FALSE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
19,713,615fd90ea2bbe2e98868b1f8,9/20/2021 0:00,uk,pravda.com.ua,https://www.pravda.com.ua/news/2021/09/20/7307746/,9,2021,en,"The U.N. Foreign Minister Peter Siyarto, who plans to participate in the fall session of 76 G.N.a., may not be there because he was vaccinated by the Russian Sputnik V. As reported in European Truth, he writes the Hungarian edition of Nepszava. The Minister was vaccinated in March by a Russian vaccine, which he reported on at his own time.","The head of the ISS Hungary may not be on the United Nations Genacombium because of the vaccine of ""Sputnik V.""",Ukraine,no,-1,other,no,-1,other,TRUE,TRUE,TRUE,yes,0,political,FALSE,FALSE,FALSE,yes,0,other,TRUE,TRUE,FALSE
20,3874,632add27895e1cb5fa96cd40,8/31/2022 14:01,ru,golosarmenii.am,https://golosarmenii.am/article/157220/mid-rf-ne-v-kurse-kontaktov-s-turciej-po-voprosu-«zangezurskogo-koridora»,8,2022,en,"She said that the working group should agree on a ""pack decision on specific routes based on the principle of respect for the sovereignty of Armenia and Azerbaijan and working for the security and economic well-being of the South Caucasus."" Earlier, the Deputy Minister of Trade of Turkey, the head of the Customs Department Resu Touna Turagaya, stated that Turkey and Russia were negotiating at a high level to open the ""Zangezura Corridor""","The Ministry of Foreign Affairs of the Russian Federation is not aware of contacts with Turkey on the ""Zangezour corridor""",Armenia,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
21,1643,62841255d8c6f4df8866957f,3/17/2022 11:10,tr,sozcu.com.tr,https://www.sozcu.com.tr/2022/ekonomi/dolar-kac-tl-1-dolar-ne-kadar-17-mart-2022-7016232/,3,2022,en,How much is a dollar? How much is a dollar? $1.1? $17.2022 is processed at $14.68 on Thursday (March 17th). The dollar started at $14.60 a day and completed last week in the shadow of the Russian Ukrainian war. The dollar completed its day with a 0.45% loss in the face of the Turkish lira. Grow the articles.,How much is a dollar? How much is a dollar?,Turkey,no,0,economic,no,0,economic,TRUE,TRUE,TRUE,no,0,other,TRUE,TRUE,FALSE,no,0,other,TRUE,TRUE,TRUE
22,3919,62718602c401db38a8ea3b7e,4/4/2022 13:50,sq,panorama.com.al,http://www.panorama.com.al/vladimir-putin-uron-vucic-per-fitoren-ne-zgjedhjet-presidenciale-ne-serbi-do-forcojme-partneritetin-mes-dy-vendeve/,4,2022,en,"Russian President Vladimir Putin has congratulated his Serbian counterpart Aleksandar Vucic after winning yesterday's presidential elections. According to local media Putin has responded with a message to Telegram, he expects his work at the head of the state to continue to contribute to the strengthening of strategic partnerships that exist between the two states. I expect that your work at the head of state will continue to contribute to the strengthening of strategic partnerships that exist between our two countries. This is certainly in the interest",Vladimir Putin congratulates Vucic for victory in presidential elections in Serbia: We Will Strengthen Partnership Between Two Countries,Albania,yes,1,political,yes,1,political,TRUE,TRUE,TRUE,yes,1,political,TRUE,TRUE,TRUE,yes,1,political,TRUE,TRUE,TRUE
23,2028,65125d6d582564317fd10c0f,2/5/2022 13:35,sq,botasot.info,https://www.botasot.info/evrope-bota/1755683/pse-evropes-nuk-i-degjohet-zeri-mbi-krizen-rusi-ukraine/,2,2022,en,"As EU High Representative Josep Borrell has complained aloud, Europe is excluded from the table where negotiations are under way on resolving the Russia-Ukrainian crisis.",Why doesn't Europe hear the sound on the Russia-Ukrainian crisis?,Kosovo,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
24,3948,6306f32dba9d8b3abc64dc86,6/21/2022 14:39,ru,nashaniva.by,https://nashaniva.com/ru/293946,6,2022,en,"There was a period of economic turbulence in the world, as announced by Prime Minister Roman Golovchenko of Belarus during the meeting of the enlarged Eurasian Intergovernmental Council, a photo by Belta, ""The situation in the world economy has changed. A new and apparently long-term period of economic turbulence has begun.",Golovchenko stated that the declared economic war was a serious challenge to Belarus and Russia.,Belarus,no,0,economic,no,0,economic,TRUE,TRUE,TRUE,yes,-1,economic,FALSE,FALSE,TRUE,yes,-1,economic,TRUE,TRUE,TRUE
25,3269,62fdb015976f12e519ed30ec,3/4/2022 7:11,tr,t24.com.tr,"https://t24.com.tr/haber/canli-blog-rus-havan-toplari-nedeniyle-ukrayna-itfaiyesi-yanan-nukleer-santrale-mudahaleye-gitmekte-zorlandi,1018749",3,2022,en,"Here are the latest minute updates. T24 Foreign News. Due to Russia's attacks, a fire broke out at the Zaporijya Nuclear Plant, the largest nuclear plant in Europe. Firefighters managed to put out the fire as a result of continued intervention until sunrise. Russia's Permanent Representative to the United Nations (UN) Geneva Office, Gennady Gatilov, said they supported the meeting of foreign ministers in Turkey.",Russia: We support Turkey's idea of meeting Russian and Ukrainian foreign ministers in Antalya,Turkey,yes,-1,military,yes,0,military,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,FALSE,yes,0,political,TRUE,TRUE,TRUE
26,1759,641b98eeddef10c074c24f1b,4/25/2022 13:52,ro,timpul.md,https://timpul.md/articol/kiev-nu-exista-niciun-acord-cu-rusia-asupra-unui-coridor-umanitar-din-azovstal.html,4,2022,en,"There is no agreement between Ukraine and Russia on the establishment of a human corridor that will allow the evacuation of civilians blocked together with Ukrainian soldiers in the Azovstal metallic complex in Maripulol, southern Ukraine, to",Kiev: There is no agreement with Russia on a human corridor in Azovstal,Moldova,yes,-1,military,yes,-1,military,TRUE,TRUE,TRUE,yes,0,political,TRUE,FALSE,FALSE,yes,0,military,TRUE,TRUE,FALSE
27,3253,651250e3582564317fd0ee2b,3/16/2022 12:44,sq,botasot.info,https://www.botasot.info/bota/1778686/rusia-e-gatshme-te-bisedoje-me-shba-kjo-eshte-deklarata-e-radhes-e-peskovit/,3,2022,en,"Russian President Vladimir Putin has not spoken with US counterpart Joe Biden since the beginning of the war in Ukraine, but contact between the two leaders can resume if necessary, said Kremlin on Wednesday. ""If necessary, contacts [between Biden and Putin] can resume,"" Kremlin spokesman Dmitry Peskov told reporters at his regular conference, CNN writes, bota forwards today",Russia ready to talk to US/This is Peskov's next statement,Kosovo,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
28,1202,6329f7c112cdeb858343f03f,5/16/2022 6:19,hu,24.hu,https://24.hu/kulfold/2022/05/16/orosz-ukran-haboru-zelenszkij-putyin-mariupol-finnorszag-svedorszag-elo-percrol-percre/#a-kreml-szovivoje-pontositott-az-orosz-kulugyminiszter-helyettes-fenyegetesen,5,2022,en,"As a result of negotiations with representatives of Ukrainian soldiers surrounded by the steel factory Azovstal in Mariupoli, the Russian Ministry of Defence announced on Monday afternoon that a weapons relief was in place in the company and a humanitarian corridor was opened to transport wounded Ukrainian soldiers to a medical facility in Novoazovsk, in the People's Republic of Donetsk, where all the necessary assistance was promised.",Turkey vetoes the accession of Sweden and Finland to NATO,Hungary,yes,1,military,yes,1,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,FALSE,TRUE,yes,0,military,TRUE,TRUE,TRUE
29,3890,632a504b6213d6bff6b693a3,7/11/2022,hy,168.am,https://168.am/2022/07/11/1731761.html,7,2022,en,Armen Govorgian delivered a speech on 11 July at the International Conference of Cooperation between the National Assembly of the Republic of Haiti and the Dasana Congregation of the Russian Federation.,"""The key to the success of military operations is time-consuming information support.""",Armenia,yes,0,military,yes,0,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,TRUE
30,9994,634717dbdeac534456ac5b42,8/12/2022 15:14,uk,pravda.com.ua,https://www.pravda.com.ua/news/2022/08/12/7362994/,8,2022,en,"From the coast of the occupied Maripolo, families of Russian troops were removed after the explosions in the Crimea, and the source was the adviser to the mayor of Mariupol Peter Andrünchenko in Telegram.",Mariopolis: Russia removes its military families from the city,Ukraine,yes,0,military,yes,0,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,TRUE
31,3469,629c5185f1f860762878d83a,3/30/2022,hy,1in.am,https://www.1in.am/3090804.html,3,2022,en,The French president Emmanuel Macroon was thinking about having a new phone call this week with Russian leader Vladimir Putin on March 30 about it.,Makrónisos had decided to contact Putin again,Armenia,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
32,1316,632be0832cc5f09f0ab40e96,4/18/2022 18:40,hu,demokrata.hu,https://demokrata.hu/vilag/mariupol-es-a-mitoszgyartas-521441/,4,2022,en,"The Ukrainians have already compared it to Leningrad and Stalingrad's heroic defenders, while the Russians ask for it. The city on the coast of the Azov Sea has really suffered for the last fifty days and its defenders have been bravely strong. Mariupol is neither Leningrad nor Stalingrad. Just as Bucsa is neither Katiny.",Mariupol and myth production,Hungary,yes,-1,culture,yes,0,culture,TRUE,TRUE,TRUE,yes,0,culture,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,FALSE
33,6669,62b0e7d613a27197c92e1ba6,6/11/2022 18:38,sr,danas.rs,https://www.danas.rs/svet/nikaragva-dozvoljava-ulazak-ruskih-trupa-aviona-brodova-marija-zaharova-kaze-da-je-odluka-rutinska/,6,2022,en,"Nicaraguan President Daniel Ortega's government has approved the deployment of Russian troops, planes and ships in Nicaragua. and searches in emergencies or natural disasters. The Nicaraguan government also approved the presence of small contingents of Russian troops to \""exchange experiences and train.\"" Russian Foreign Ministry spokeswoman Maria Zakharova told Russia's Sputnik that the decision was Nicaraguan","Nicaragua allows the entry of Russian troops, planes, ships; Marija Zaharova says the decision is \""routine\""",Serbia,yes,1,military,yes,1,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,FALSE,TRUE,yes,0,military,TRUE,TRUE,TRUE
34,85,6408d9cd5ec3dd4afec1370b,11/17/2021 16:08,ro,tribuna.md,https://tribuna.md/2021/11/17/igor-dodon-in-calitate-de-presedinte-al-uniunii-de-afaceri-moldo-rusa-efectueaza-o-vizita-la-moscova/,11,2021,en,"The President of the Union of Moldova-Russia, Igor Dodon, is making a business visit to Moscow, where several important interviews have been planned, informs TRIBUNA of a communication from the social partners.The first destination of the agenda has been visited at the Foundation""","Igor Dodon, as President of the Russian-Russian Union, makes a visit to Moscow",Moldova,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
35,1093,627d801add894d3c8b3d2ee6,3/22/2022 9:23,tr,posta.com.tr,https://web.archive.org/web/20220322064047/https://www.posta.com.tr/dunya/ukraynadaki-azov-taburu-rus-askerlerini-imha-etti-2502898,3,2022,en,Ukraine's Azov Battalion has released footage of a remote attack on Russian soldiers resting at the head of a tank.,Azov Battalion in Ukraine destroys Russian troops,Turkey,yes,0,military,yes,0,military,TRUE,TRUE,TRUE,yes,-1,military,TRUE,FALSE,TRUE,yes,-1,military,TRUE,TRUE,TRUE
36,1248,62fd42fc976f12e519ec2e5b,1/18/2022 12:31,tr,t24.com.tr,"https://t24.com.tr/haber/facebook-rusya-disisleri-bakanligi-na-bagli-sayfanin-engelini-kaldirdi,1008856",1,2022,en,"T24 Foreign News. Facebook has removed the obstacle to the Russian Foreign Ministry's page for gun control talks in Vienna. Russia's media control agency Roskomnadzor has reportedly sent a letter demanding the removal of the block to its owner, Meta, after the page was blocked last Friday due to ""sharing illegal content."" Roskomnadzor, the US social media giant, has blocked the page.",Facebook unblocks Russian Foreign Ministry page,Turkey,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,other,TRUE,TRUE,FALSE
37,606,632b2712f0f033903a317cc3,2/24/2022 9:38,hu,168.hu,https://168.hu/kulfold/orosz-ukran-haboru-a-brit-kulugyminiszter-227437,2,2022,en,"The British Foreign Minister, James Cleverly, announced that Russia could expect an unprecedented and coordinated sanction package, says the BBC. According to Cleverly, sanctions will be valid from Thursday and will be announced more and more in the next few days. These will be the biggest and most serious sanctions that Russia has ever seen, said Cleverly, who says the United Kingdom is clearly standing next to Ukraine and this will also be reported to the Ukrainian people in the next few days",Russian-Ukrainian War: tough reactions from British Foreign Minister,Hungary,yes,-1,economic,yes,-1,economic,TRUE,TRUE,TRUE,yes,-1,political,TRUE,TRUE,FALSE,yes,-1,economic,TRUE,TRUE,FALSE
38,3242,62b3cd01682b734b673c7ee5,3/25/2022 13:13,sr,danas.rs,https://www.danas.rs/svet/lavrov-zapad-protiv-rusije-vodi-hibridni-rat/,3,2022,en,"Russian Foreign Minister Sergei Lavrov accused Western countries of waging a real hybrid war against Russia. He called the current situation \""sanction lawlessness.\"" They declared a real hybrid war, a total war. The term, which was used by Hitler's Germany, is now used by European politicians, Lavrov said at a session of the Gorchakov Public Diplomacy Support Fund. stressed that the values ​​that Western countries \""constantly preached\"" were worthless. Follow us on our Fa",Lavrov: The West is waging a hybrid war against Russia,Serbia,yes,1,military,yes,1,military,TRUE,TRUE,TRUE,yes,-1,political,TRUE,FALSE,FALSE,yes,-1,political,TRUE,TRUE,TRUE
39,3545,62fd58be976f12e519ec5d41,3/30/2022 8:51,tr,t24.com.tr,"https://t24.com.tr/haber/selvi-erdogan-putin-ve-zelenski-ye-savasi-bitirecek-imzalari-attirabilirse-2023-secimlerinde-60-parti-bir-araya-gelse-yikamaz,1024347",3,2022,en,"""The name of the country in which Russia and Ukraine agreed on a war is Turkey, and the name of the leader Putin and Zelanski meeting at the same time is Erdogan."" Hurriyet writer Abdulkadir Selvi argued that President Recep Tayyip Erdogan would win in 2023 elections if Russian President Vladimir Putin and Ukrainian President Volodimir Zelenski could bring peace together. Selvi, Russia-Ukray.","Selvi: If Erdogan can get Putin and Zelenski to sign off on ending the war, 60 parties in the 2023 elections won't.",Turkey,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
